ID,Date,Glu_I,Ca_I,Cr_I,Na,K,Cl,CO2,BUN,Cr_Z,Glu_Z,Ca_Z,An,HCT,Hb,Mass,WC,Cul,HB,Plas.mass,Plas.num,Plas.FO,Year,Plastic,glucose
NL-2016-01,29/04/2016,13.1,2.1,3914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,258,41,90.6,37.3267,113,1,2016,High Plastic,236.004229
162-87093,3/05/2016,12.6,1.9,4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,318,41.9,95.3,22.255,263,1,2016,High Plastic,226.996434
162-87094,3/05/2016,11.9,2,1684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,294,41.3,94.1,18.1816,57,1,2016,High Plastic,214.385521
162-87096,5/05/2016,16.7,2.6,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,309,40.7,93.8,19.1714,133,1,2016,High Plastic,300.860353
162-87097,5/05/2016,15.6,2.2,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,299,41.2,95.4,5.6572,60,1,2016,High Plastic,281.043204
162-87098,8/05/2016,18.2,2.4,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,300,42.5,95.4,3.4955,43,1,2016,High Plastic,327.883738
162-83909,9/05/2016,16.2,2.2,2450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,312,39,94,3.6024,32,1,2016,High Plastic,291.852558
NL-2017-12,1/05/2017,17,2.4,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,256,40,87.8,6.7043,20,1,2017,High Plastic,306.26503
NL-2017-13,1/05/2017,10.9,2.1,3377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,228,35.9,84.8,1.051,11,1,2017,High Plastic,196.369931
162-83945,3/05/2017,15.6,2.2,9913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,290,41.1,94,27.463,116,1,2017,High Plastic,281.043204
NL-2017-24,4/05/2017,12.8,2,11644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,240,40,93.8,3.921,27,1,2017,High Plastic,230.599552
162-87117,5/05/2017,11.1,2.3,94466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,296,38.4,88.2,2.071,45,1,2017,High Plastic,199.973049
162-87127,6/05/2017,13.3,2,28254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,297,41.8,94.8,0.587,16,1,2017,High Plastic,239.607347
162-87144,9/05/2017,11.8,2.2,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,306,39.2,93.2,0.429,21,1,2017,High Plastic,212.583962
162-87153,9/05/2017,18.2,2.3,2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,271,36.1,84.6,0.2,25,1,2017,High Plastic,327.883738
NL-2017-54,9/05/2017,11,2.2,3952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,262,39.9,88.7,4.089,45,1,2017,High Plastic,198.17149
NL-2017-59,9/05/2017,4.7,1.9,1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,225,37.9,86.7,0.993,6,1,2017,High Plastic,84.673273
NL-2017-60,9/05/2017,22.2,2.2,2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,232,41.2,92.3,1.406,20,1,2017,High Plastic,399.946098
162-87165,10/05/2017,11.9,2.2,1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,NA,NA,NA,1.553,7,1,2017,High Plastic,214.385521
